index,lat,lng,City,Temperature,Humidity(%),Cloudiness(%),Wind_Speed(mph)
0,68.04970792567212,113.91851118935995,udachnyy,289.62,65,81,4.23
1,-21.821077202747716,126.72948593442845,yulara,293.69,26,0,4.66
2,11.615996770330753,-37.44291163320082,sao filipe,299.37,81,94,4.68
3,-79.25418998913047,-154.3142338628597,mataura,233.9,98,98,2.96
4,0.7809539646113421,-61.81595351082123,barcelos,295.12,98,41,0.85
5,16.75048572351473,-26.5634512242369,porto novo,297.03,92,22,4.76
6,6.163267122481486,-153.67991820688212,hilo,299.28,82,81,4.48
7,-74.62058475549209,-71.5945528041017,ushuaia,245.77,64,6,4.16
8,26.620122912727055,2.2450680162551464,adrar,318.43,5,0,4.92
9,-5.971612267093718,123.6261965372617,katobu,301.59,71,100,6.23
11,81.33160171005196,7.468236096017137,barentsburg,273.75,95,100,6.56
12,42.140820718216105,91.46431297059337,hami,307.95,7,37,7.13
13,-77.22301014542033,14.496793864238043,bredasdorp,239.57,91,100,6.14
14,-55.33741840960188,116.88460945110882,albany,274.62,85,100,10.98
15,63.13229584171981,-34.81210113284837,tasiilaq,278.44,78,91,4.61
16,86.9591744174825,-153.24728972674234,barrow,273.65,97,100,6.56
17,58.697121092400465,-17.775173655581852,vestmannaeyjar,284.29,95,100,11.87
19,21.723581859109316,139.05980338351463,naze,303.05,71,10,5.95
20,70.85578349924648,-64.54439295065751,clyde river,273.14,91,100,4.0
21,22.826441725348857,56.2085261977397,nizwa,319.34,7,0,3.5
22,66.3723500783,135.76652105507833,batagay,288.38,61,95,2.35
23,-14.57500386830526,-0.12362114532214719,jamestown,293.76,70,99,10.81
25,52.26195099226359,-1.1922774814381114,rugby,296.52,62,77,1.34
26,34.101727873671294,-98.51085730311078,burkburnett,297.26,68,0,2.66
27,-62.447138636208,-102.29491251903906,punta arenas,275.35,93,100,12.38
28,23.012986519371836,165.6885011459819,butaritari,301.66,74,13,6.23
29,9.960124292071598,-76.74637879683756,puerto escondido,300.09,82,100,4.27
30,-39.72913417917945,159.2450787954199,kiama,288.28,79,99,6.69
31,-53.6974125343776,125.41303103986723,esperance,276.68,77,100,13.9
32,31.378851115231242,4.106387659240539,warqla,310.55,14,3,3.3
34,73.31334849093219,81.39355525600484,dikson,280.99,85,98,6.94
35,-23.33364666057767,157.83593085290033,hervey bay,293.93,58,68,6.46
37,53.06816766010485,2.5932209746150363,great yarmouth,286.15,82,40,2.5
38,52.17627017152853,-54.156856626956,saint anthony,277.74,86,81,1.24
39,-67.88038365845226,144.5251172840904,hobart,258.26,88,100,2.99
40,-5.695154344152314,94.16971291884539,padang,299.81,80,100,4.33
41,82.53491406966666,-69.9929692800413,qaanaaq,267.17,79,100,1.08
42,47.78241010597685,-133.42187249216028,port hardy,283.54,82,8,5.17
43,24.76151942287258,-3.9277267337181456,taoudenni,312.68,20,0,4.5
44,67.96948647959809,155.84817443157488,srednekolymsk,289.61,40,97,2.82
45,46.20470435967806,8.107273782864382,naters,287.63,91,100,1.98
46,39.76990441814479,17.733571639785055,gallipoli,305.64,66,0,2.65
47,47.899255228404684,66.55160438145279,zhezkazgan,304.2,21,0,6.43
49,-43.10704746615396,33.20531228546403,east london,281.44,74,25,6.63
50,-14.890112502902696,21.31562182959857,kalabo,298.97,24,0,3.38
51,83.00041210206089,-136.2341928499218,tuktoyaktuk,273.75,94,99,5.19
52,57.27586605268803,119.01179669695392,chara,286.58,78,83,3.36
53,69.27638094687862,55.14137889204997,iskateley,276.05,94,100,8.83
54,3.7500441678466245,-2.2937383511378187,axim,298.72,80,100,3.82
55,-34.01762202096319,173.7613924337815,kaeo,287.94,64,100,5.26
56,1.8162471211040128,-54.91766846006668,grand-santi,294.46,90,42,1.05
57,57.577653484296604,-111.85170660300146,athabasca,285.99,78,100,2.29
58,-44.841087401855034,160.38001434637357,te anau,284.88,91,79,7.3
